State,"Emissions per capita, metric tons (2018)"
Alabama,23.2
Alaska,47.6
Arizona,13.1
Arkansas,23.6
California,9
Colorado,15.9
Connecticut,10.5
Delaware,13.8
Florida,11.4
Georgia,13.6
Hawaii,14.4
Idaho,10.8
Illinois,16.7
Indiana,28.2
Iowa,26.3
Kansas,21.4
Kentucky,27.1
Louisiana,42.7
Maine,11
Maryland,10.2
Massachusetts,9.4
Michigan,16.4
Minnesota,17
Mississippi,21.2
Missouri,20.4
Montana,29
Nebraska,27.2
Nevada,13.5
New Hampshire,10.5
New Jersey,11.9
New Mexico,21.7
New York,9
North Carolina,12
North Dakota,77.7
Ohio,17.9
Oklahoma,24.8
Oregon,9.5
Pennsylvania,17.2
Rhode Island,10.5
South Carolina,14.4
South Dakota,17.7
Tennessee,14
Texas,23.9
Utah,19.4
Vermont,9.4
Virginia,12.7
Washington,10.2
West Virginia,49.8
Wisconsin,17.6
Wyoming,109.9
