name,parent,value
Origin,,
Wyoming,Origin,109.9
North Dakota,Origin,77.7
West Virginia,Origin,49.8
Alaska,Origin,47.6
Louisiana,Origin,42.7
Montana,Origin,29
Indiana,Origin,28.2
Nebraska,Origin,27.2
Kentucky,Origin,27.1
Iowa,Origin,26.3
Oklahoma,Origin,24.8
Texas,Origin,23.9
Arkansas,Origin,23.6
Alabama,Origin,23.2
New Mexico,Origin,21.7
Kansas,Origin,21.4
Mississippi,Origin,21.2
Missouri,Origin,20.4
Utah,Origin,19.4
Ohio,Origin,17.9
South Dakota,Origin,17.7
Wisconsin,Origin,17.6
Pennsylvania,Origin,17.2
Minnesota,Origin,17
Illinois,Origin,16.7
Michigan,Origin,16.4
Colorado,Origin,15.9
Hawaii,Origin,14.4
South Carolina,Origin,14.4
Tennessee,Origin,14
Delaware,Origin,13.8
Georgia,Origin,13.6
Nevada,Origin,13.5
Arizona,Origin,13.1
Virginia,Origin,12.7
"North 
Carolina",Origin,12
New Jersey,Origin,11.9
Florida,Origin,11.4
Maine,Origin,11
Idaho,Origin,10.8
Connecticut,Origin,10.5
"New 
Hampshire",Origin,10.5
Rhode Island,Origin,10.5
Maryland,Origin,10.2
Washington,Origin,10.2
Oregon,Origin,9.5
Massachusetts,Origin,9.4
Vermont,Origin,9.4
California,Origin,9
"New 
York",Origin,9
